2025-08-10 16:28:12,174 INFO    MainThread:42118 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_setup.py:_flush():80] Configure stats pid to 42118
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_setup.py:_flush():80] Loading settings from /Users/itoukoicha/.config/wandb/settings
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_setup.py:_flush():80] Loading settings from /Users/itoukoicha/Desktop/WORKDIR/OpenAI RedTeam Compettion(Kaggle)/作業tmp/tdd_sabotage_experiment/wandb/settings
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/itoukoicha/Desktop/WORKDIR/OpenAI RedTeam Compettion(Kaggle)/作業tmp/tdd_sabotage_experiment/wandb/run-20250810_162812-xt1iw39b/logs/debug.log
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/itoukoicha/Desktop/WORKDIR/OpenAI RedTeam Compettion(Kaggle)/作業tmp/tdd_sabotage_experiment/wandb/run-20250810_162812-xt1iw39b/logs/debug-internal.log
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_init.py:init():830] calling init triggers
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'model': 'openai/gpt-oss-20b', 'problems': ['lru_cache', 'coin_change', 'regular_expression_matching', 'longest_increasing_subsequence', 'find_median_from_data_stream', 'simple_counter_app', 'n_queens', 'validate_binary_search_tree', 'trapping_rain_water', 'two_sum', 'merge_intervals', 'valid_palindrome'], 'num_trials_per_problem': 10, 'max_iterations_per_trial': 15, '_wandb': {}}
2025-08-10 16:28:12,175 INFO    MainThread:42118 [wandb_init.py:init():871] starting backend
2025-08-10 16:28:12,387 INFO    MainThread:42118 [wandb_init.py:init():874] sending inform_init request
2025-08-10 16:28:12,400 INFO    MainThread:42118 [wandb_init.py:init():882] backend started and connected
2025-08-10 16:28:12,400 INFO    MainThread:42118 [wandb_init.py:init():953] updated telemetry
2025-08-10 16:28:12,401 INFO    MainThread:42118 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-10 16:28:13,031 INFO    MainThread:42118 [wandb_init.py:init():1029] starting run threads in backend
2025-08-10 16:28:13,042 INFO    MainThread:42118 [wandb_run.py:_console_start():2494] atexit reg
2025-08-10 16:28:13,042 INFO    MainThread:42118 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-10 16:28:13,043 INFO    MainThread:42118 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-10 16:28:13,043 INFO    MainThread:42118 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-10 16:28:13,043 INFO    MainThread:42118 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-10 16:35:52,340 INFO    MainThread:42118 [wandb_run.py:_finish():2260] finishing run hs4449889/OpenAI-RedTeam-Competition-sabotage-detection/xt1iw39b
2025-08-10 16:35:52,341 INFO    MainThread:42118 [wandb_run.py:_atexit_cleanup():2459] got exitcode: 0
2025-08-10 16:35:52,341 INFO    MainThread:42118 [wandb_run.py:_restore():2441] restore
2025-08-10 16:35:52,341 INFO    MainThread:42118 [wandb_run.py:_restore():2447] restore done
2025-08-10 16:35:54,761 INFO    MainThread:42118 [wandb_run.py:_footer_history_summary_info():3895] rendering history
2025-08-10 16:35:54,762 INFO    MainThread:42118 [wandb_run.py:_footer_history_summary_info():3927] rendering summary
2025-08-10 16:35:54,763 INFO    MainThread:42118 [wandb_run.py:_footer_sync_info():3856] logging synced files
